,席数,徒歩時間,エリア供給密度,Wi-Fi,カード決済,駐車場,禁煙情報,子供可,平日定休日,土日定休日,ランチ提供
クラスタ0,20.72,4.98,61.83,0.57,0.93,0.21,1.96,0.99,0.66,0.26,0.65
クラスタ1,19.26,4.96,63.24,0.22,0.07,0.2,1.59,1.0,0.41,0.36,0.34
クラスタ2,20.38,5.63,75.69,0.14,0.42,0.03,1.54,0.0,0.46,0.18,0.21
クラスタ3,22.78,17.81,49.36,0.22,0.4,0.79,1.9,0.92,0.71,0.32,0.62
クラスタ4,54.48,3.7,112.89,0.58,0.9,0.37,1.86,0.98,0.02,0.03,0.74
